StationFID,TempMin,TempMax,Precip,windDirectionLetter,windSpped_Ave,evaporation,Station_ID,Ycoor,Xcoor,Elevation,Name,col2,col3,col4,col5,col6,col7,col8,col9,col10,StationFID,XYcoorM,tc,water,imp,barren,st,bldgSum
1,11.908064516129032,20.087096774193547,24.8,,,,CA001018611,48.0333,-123.3333,70.0,BC,VICTORIA,GONZALES,CS,71200,0,,,,,1,"(-2027759.4962887638, 3075501.9484220417)",17.015395658523303,0.0,0.2133610554194203,0.0,30.49173980842058,0.27521014383223147
33232,20.61521739130435,32.27173913043478,224.0,,,,USC00010063,34.2553,-87.1814,249.3,AL,ADDISON,,,,0,,,,,33232,"(804540.6192619366, 1281338.805201074)",8.607534466968639,0.08910670527957229,0.3399420806415683,0.0,35.04494096680775,0.35621722195553035
33238,21.654098360655738,34.31206896551724,205.5,,,,USC00010160,32.9453,-85.9481,195.1,AL,ALEXANDER,CITY,,,0,,,,,33238,"(932080.1001690272, 1146918.2269390114)",9.395708027029034,0.0,7.760798000049504,0.022276676319893073,35.5944842949432,8.229150762096335
33240,20.46333333333333,33.72096774193548,296.6,,,,USC00010178,33.1272,-88.155,59.4,AL,ALICEVILLE,,,,0,,,,,33240,"(726299.081577994, 1147930.9156640843)",6.66325090963095,0.0,7.577485705799361,0.28959679215860995,36.43077522833593,6.122890482398099
33242,21.808064516129033,33.10806451612903,235.9,,,,USC00010252,31.3072,-86.5225,76.2,AL,ANDALUSIA,3,W,,0,,,,,33242,"(897135.6006729716, 959741.179653313)",10.755575357045618,2.9182445979059923,0.5644662260835128,0.044553352639786145,31.738505235018934,0.7579583472329691
33243,20.416129032258063,32.082258064516125,263.6,,,,USC00010260,34.9628,-87.3719,231.6,AL,ANDERSON,,,,0,,,,,33243,"(780050.6055558973, 1358575.0480473954)",4.221454914482314,0.0,3.5720155441696986,0.044553352639786145,35.838269102249946,2.3149224513673112
33249,21.763934426229508,33.01803278688525,209.1,,,,USC00010390,34.7753,-86.9508,210.0,AL,ATHENS,,,,0,,,,,33249,"(819999.5581123463, 1341218.7669228967)",5.883864260785624,3.40833147694364,4.665701344026138,0.022276676319893073,36.252650924482076,2.547460204381625
33251,23.516129032258064,33.883870967741935,214.7,,,,USC00010402,31.1819,-87.4389,91.4,AL,ATMORE,,,,0,,,,,33251,"(811887.320765886, 937637.4198940396)",6.621370758149551,0.1559367342392515,0.7838419841093043,1.4034306081532635,33.7101670750724,0.17713344779807663
33254,21.75161290322581,32.898387096774194,216.7,,,,USC00010425,32.5992,-85.4653,166.1,AL,AUBURN,NO.2,,,0,,,,,33254,"(980932.5174071667, 1113364.2932725623)",12.677532734338259,0.0,10.520482166283013,0.0,34.57899086656271,10.032011651923156
33258,21.66949152542373,33.130508474576274,242.6,,,,USC00010505,33.4528,-87.3572,85.3,AL,BANKHEAD,L&D,,,0,,,,,33258,"(796672.4962524076, 1190538.1580511201)",9.295240216826317,21.385609267097347,0.20717308977500556,0.42325685007796837,34.01026063711294,0.04200974239030862
33260,23.691935483870967,32.2758064516129,408.3,,,,USC00010583,30.8839,-87.7853,82.6,AL,BAY,MINETTE,,,0,,,,,33260,"(781975.0585702815, 901712.5890455246)",8.251231405163239,0.044553352639786145,8.107522091037351,0.044553352639786145,35.62858320338605,6.242036118964839
33263,20.880645161290325,32.848387096774196,166.2,,,,USC00010655,34.6892,-86.8819,183.8,AL,BELLE,MINA,2,N,0,,,,,33263,"(827144.5726498952, 1332224.305747075)",1.4366228558699041,1.3811539318333705,0.45602831613078887,0.0,36.83033637781243,0.20906655963881227
33267,21.870967741935484,33.35967741935484,244.1,,,,USC00010764,33.3953,-87.0078,135.6,AL,BESSEMER,3,WSW,,0,,,,,33267,"(829390.8857150987, 1187123.887518825)",9.296799584168708,2.5840944531075962,4.590480433652632,1.3143239028736913,34.63696814435286,2.259823774926521
